"Procedure","RunNumberFilterValue","baselineBlockList","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","TrialType","ListLen","NumTrials","ProbePos","TopN","w1","w2","w3","w4","w5","w6","w7","w8","probe","correct","ITI","ms","TRs","BAS2SamplingList","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","List1Slide.OnsetDelay","List1Slide.OnsetTime","List1Slide.DurationError","List1Slide.Duration","List1Slide.StartTime","List1Slide.OffsetTime","List1Slide.FinishTime","List1Slide.OffsetDelay","List2Slide.OnsetDelay","List2Slide.OnsetTime","List2Slide.DurationError","List2Slide.Duration","List2Slide.StartTime","List2Slide.OffsetTime","List2Slide.FinishTime","List2Slide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","ProbeSlide.OnsetDelay","ProbeSlide.OnsetTime","ProbeSlide.DurationError","ProbeSlide.Duration","ProbeSlide.StartTime","ProbeSlide.OffsetTime","ProbeSlide.FinishTime","ProbeSlide.OffsetDelay","ProbeSlide.RTTime","ProbeSlide.ACC","ProbeSlide.RT","ProbeSlide.RESP","ProbeSlide.CRESP","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","TrialACC","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"SternTrialPROC","baseline2","14","baselineBlockList","2","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",7,"2","1","3","course","finger","boat",NA,"kind","stove","flute","drug","word","1","1","1600","10","34","800","9","578238","2","500","578230","578240","578240","11","9",578738,"2","300","578241","578740","578740","11","9","579038","2","2400","578740","579040","579040","11","8","581437","3","2400","579041","581440","581440","11","8","583837","2","4000","581440","583839","583840","10","7","587836","3","1600","583840","587839","587839","10",588911,1,1075,1,"1","7","589436","-7","800","587839","590229","590229","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",8,"3","8","4","hope","merit","runner","entry","backup","skull","wars","paper","paper","2","1","1600","10","35","800","24","590253","2","500","590230","590255","590255","26","7",590736,"2","300","590255","590738","590738","9","7","591036","2","2400","590738","591038","591038","9","7","593436","2","2400","591039","593438","593438","9","6","595835","2","4000","593438","595837","595838","8","6","599835","2","1600","595838","599837","599837","8",601153,1,1318,2,"2","5","601434","-5","800","599837","602229","602229","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",8,"3","7","4","toys","cries","mole","jobs","crowd","grease","pony","craft","pony","2","2","2800","11","36","2000","22","602251","2","500","602230","602253","602253","24","5",602734,"2","300","602253","602736","602736","7","5","603034","2","2400","602736","603036","603037","7","5","605434","2","2400","603037","605436","605436","7","4","607833","2","4000","605436","607835","607836","6","4","611833","2","1600","607836","611835","611835","6",612775,1,942,2,"2","3","613432","-3","2000","611835","615429","615429","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","4","3","wheat","guys","stick",NA,"fluid","budget",NA,NA,"fluid","2","2","2800","11","37","2000","20","615449","2","500","615430","615451","615451","22","3",615932,"2","300","615451","615934","615934","5","3","616232","2","2400","615934","616234","616234","5","3","618632","2","2400","616235","618634","618634","5","2","621031","2","4000","618634","621033","621034","4","2","625031","2","1600","621034","625033","625033","4",626779,1,1748,2,"2","1","626630","-1","2000","625033","628629","628629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",8,"1","3","4","decay","snow","credit","creek","touch","ruler","shed","import","church","1","3","4000","12","38","3200","18","628647","2","500","628630","628649","628649","20","1",629130,"2","300","628649","629132","629132","3","1","629430","2","2400","629132","629432","629432","3","0","631829","3","2400","629433","631832","631832","3","0","634229","2","4000","631832","634231","634232","2","16","638245","2","1600","634232","638247","638248","18",639224,1,979,1,"1","16","639845","-16","3200","638248","643029","643029","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",5,"2","3","3","twins","block","ethics",NA,"remark","duty",NA,NA,"story","1","3","4000","12","39","3200","15","643044","2","500","643030","643046","643047","17","15",643544,"2","300","643047","643546","643546","17","15","643844","2","2400","643546","643846","643847","17","15","646244","2","2400","643847","646246","646246","17","14","648643","3","4000","646247","648646","648646","17","14","652643","2","1600","648646","652645","652645","16",653582,1,939,1,"1","14","654243","-14","3200","652646","657429","657429","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","5","3","owner","right","reason",NA,"lime","yard",NA,NA,"yard","2","2","2800","11","40","2000","13","657442","2","500","657430","657444","657445","15","13",657942,"2","300","657445","657944","657944","15","13","658242","2","2400","657944","658244","658244","15","13","660642","2","2400","658245","660644","660644","15","12","663041","2","4000","660644","663043","663044","14","12","667041","2","1600","663044","667043","667043","14",668100,1,1059,2,"2","11","668640","-11","2000","667043","670629","670629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RN",5,"1","1","3","bunch","ditch","dragon",NA,"fault","keeper",NA,NA,"owner","1","2","2800","11","41","2000","11","670640","3","500","670630","670643","670643","14","11",671140,"2","300","670643","671142","671142","13","11","671440","2","2400","671142","671442","671442","13","10","673839","3","2400","671443","673842","673842","13","10","676239","2","4000","673842","676241","676242","12","9","680238","3","1600","676242","680241","680241","12",0,0,0,NA,"1","9","681838","-9","2000","680241","683829","683829","0","0",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","2","3","rivals","honey","deal",NA,"camp","hound",NA,NA,"honey","2","3","4000","12","42","3200","9","683838","2","500","683830","683840","683840","11","9",684338,"2","300","683841","684340","684340","11","9","684638","2","2400","684340","684640","684640","11","8","687037","3","2400","684641","687040","687040","11","8","689437","2","4000","687040","689439","689440","10","7","693436","3","1600","689440","693439","693439","10",694607,1,1171,2,"2","7","695036","-7","3200","693439","698229","698229","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",6,"1","4","3","labor","portal","folder",NA,"ideals","fate","hatred",NA,"cows","1","3","4000","12","43","3200","23","698252","2","500","698230","698254","698255","25","7",698736,"1","300","698255","698737","698737","8","6","699035","3","2400","698738","699038","699038","9","6","701435","2","2400","699038","701437","701438","8","6","703835","2","4000","701438","703837","703837","8","5","707834","2","1600","703838","707836","707837","7",0,0,0,NA,"1","5","709434","-5","3200","707837","712629","712629","0","0",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",8,"3","3","4","praise","pedal","pilot","crop","impact","snap","bags","advice","pilot","2","1","1600","10","44","800","21","712650","2","500","712630","712652","712653","23","4",713133,"2","300","712653","713135","713135","6","4","713433","2","2400","713135","713435","713436","6","4","715833","2","2400","713436","715835","715835","6","3","718232","3","4000","715836","718235","718235","6","3","722232","2","1600","718236","722234","722234","5",723457,1,1225,2,"2","3","723832","-3","800","722235","724629","724629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",5,"2","1","3","fight","slip","saint",NA,"wisdom","couple",NA,NA,"train","1","1","1600","10","45","800","19","724648","2","500","724630","724650","724651","21","2",725131,"2","300","724651","725133","725133","4","2","725431","2","2400","725133","725433","725434","4","2","727831","2","2400","725434","727833","727833","4","2","730231","2","4000","727834","730233","730233","4","1","734230","2","1600","730234","734232","734232","3",735173,1,943,1,"1","1","735830","-1","800","734233","736629","736629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"FixationOnlyPROC","baseline2","15","baselineBlockList","2","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","736646","2","30000","736630","736648","736649","19",52622
